,Unnamed: 0,Unnamed: 0.1,classement,ville,idx_cout_vie,idx_loyer,idx_cout_vie_loyer,idx_courses,idx_prix_restaurants,idx_pouvoir_achat_local,Pays,lat,lon
189,54,54,55,"Jacksonville, Floride","69,02","37,81","54,10","74,40","66,22","149,27",États Unis,30.3321838,-81.655651
190,55,55,56,"Kansas City, Missouri","68,08","40,50","54,90","61,79","72,23","123,65",États Unis,39.100105,-94.5781416
191,56,56,57,"Tucson, Arizona","67,55","33,53","51,29","68,00","64,39","134,77",États Unis,32.2228765,-110.9748477
192,57,57,58,"Saint Louis, Missouri","67,07","34,12","51,32","66,84","64,20","104,21",États Unis,38.6319657,-90.2428756
193,58,58,59,"San Antonio, Texas","66,81","41,40","54,67","58,94","69,84","142,99",États Unis,29.4246002,-98.4951405
194,59,59,60,"Louisville, Kentucky","65,78","30,96","49,14","65,10","63,98","154,08",États Unis,38.2542376,-85.759407
195,60,60,61,"Salt Lake City, Utah","65,10","44,97","55,48","61,98","71,42","134,84",États Unis,40.7596198,-111.8867975
196,61,61,62,"Memphis, Tennessee","64,34","35,57","50,59","64,34","66,00","169,98",États Unis,35.1460249,-90.0517638
197,62,62,63,"Cincinnati, Ohio","63,67","39,78","52,25","62,78","60,54","117,93",États Unis,39.1014537,-84.5124602
198,63,63,64,"Knoxville, Tennessee","60,02","33,74","47,46","56,36","57,35","146,98",États Unis,35.9603948,-83.9210261
199,0,0,1,Espoo,"75,34","30,27","53,80","66,96","85,26","95,46",Finlande,60.2047672,24.6568435
200,1,1,2,Turku,"68,41","19,79","45,17","58,02","77,55","100,32",Finlande,60.4517531,22.2670522
201,2,2,3,Oulu,"68,38","19,81","45,17","59,43","65,84","96,23",Finlande,65.0118734,25.4716809
202,3,3,4,Helsinki,"67,16","30,52","49,65","56,83","73,27","105,22",Finlande,60.1674881,24.9427473
203,4,4,5,Tampere,"62,08","21,09","42,49","50,89","70,44","104,01",Finlande,61.4980214,23.7603118
204,0,0,1,Nice,"75,05","27,68","52,41","68,17","81,11","79,61",France,43.7009358,7.2683912
205,1,1,2,Paris,"74,29","42,79","59,24","71,63","69,08","77,59",France,48.8588897,2.3200410217200766
206,2,2,3,Lyon,"72,36","23,33","48,92","68,21","66,39","94,19",France,45.7578137,4.8320114
207,3,3,4,Toulouse,"67,14","21,78","45,46","64,16","67,28","103,81",France,43.6044622,1.4442469
208,4,4,5,Grenoble,"65,86","18,66","43,30","63,36","59,34","91,63",France,45.1875602,5.7357819
209,5,5,6,Nantes,"65,00","22,79","44,83","61,98","61,97","87,72",France,47.2186371,-1.5541362
210,6,6,7,Marseille,"64,03","21,31","43,61","61,94","61,51","98,33",France,43.2961743,5.3699525
211,7,7,8,Lille,"60,88","22,46","42,52","53,09","59,92","106,94",France,50.6365654,3.0635282
212,0,0,1,Athènes,"58,20","15,92","38,00","44,71","54,13","43,16",Grèce,37.9839412,23.7283052
213,1,1,2,Thessalonique,"54,66","12,47","34,50","41,70","51,39","41,71",Grèce,40.6403167,22.9352716
214,2,2,3,Héraklion,"52,13","12,20","33,04","39,74","42,44","38,86",Grèce,35.3400127,25.1343475
215,3,3,4,Larissa,"51,56","9,51","31,46","39,24","48,20","46,55",Grèce,39.6383092,22.4160706
216,0,0,1,Budapest,"45,18","14,52","30,53","40,10","37,19","55,83",Hongrie,47.4979937,19.0403594
217,1,1,2,Szeged,"39,40","8,61","24,68","36,64","31,33","52,07",Hongrie,46.2546312,20.1486016
218,2,2,3,Debrecen,"35,30","9,56","23,00","30,89","29,40","54,13",Hongrie,47.531399,21.6259782
