,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,classement,ville,idx_cout_vie,idx_loyer,idx_cout_vie_loyer,idx_courses,idx_prix_restaurants,idx_pouvoir_achat_local,Pays,lat,lon
50,50,50,0,0,1,Sofia,44.8,12.68,29.45,38.74,42.45,58.88,Bulgarie,42.6977028,23.3217359
51,51,51,1,1,2,Varna,38.97,9.52,24.9,33.08,33.4,51.54,Bulgarie,43.2073873,27.9166653
52,52,52,2,2,3,Plovdiv,37.34,8.03,23.33,33.55,32.93,50.86,Bulgarie,42.1418541,24.7499297
53,53,53,3,3,4,Bourgas,36.38,9.15,23.37,31.9,33.79,51.92,Bulgarie,42.4936616,27.4721276
54,54,54,0,0,1,Victoria,74.78,44.28,60.2,74.52,74.49,89.99,Canada,48.4283182,-123.3649533
55,55,55,1,1,2,"Nanaimo, BC",73.56,34.58,54.93,72.36,63.65,84.82,Canada,49.163877,-123.938122
56,56,56,2,2,3,Toronto,72.07,47.12,60.15,65.8,78.85,90.93,Canada,43.6534817,-79.3839347
57,57,57,3,3,4,Vancouver,70.96,51.34,61.58,68.41,75.11,95.55,Canada,49.2608724,-123.113952
58,58,58,4,4,5,Calgary,70.91,32.23,52.43,63.72,71.84,117.99,Canada,51.0460954,-114.065465
59,59,59,5,5,6,Markham,68.89,46.19,58.04,59.75,79.55,92.87,Canada,43.8563707,-79.3376825
60,60,60,6,6,7,Edmonton,68.73,24.83,47.75,62.93,73.19,112.88,Canada,53.5462055,-113.491241
61,61,61,7,7,8,Kamloops,68.45,32.21,51.13,69.81,55.43,93.98,Canada,50.6758269,-120.339415
62,62,62,8,8,9,Fredericton,68.33,22.72,46.53,68.71,66.9,117.87,Canada,45.94780155,-66.65347069241668
63,63,63,9,9,10,Ottawa,67.46,34.3,51.61,59.46,71.07,105.9,Canada,45.4208777,-75.6901106
64,64,64,10,10,11,Halifax,67.06,32.34,50.47,66.31,64.1,97.18,Canada,44.648618,-63.5859487
65,65,65,11,11,12,La ville de Québec (existing value),67.06,20.76,44.93,62.99,68.78,108.12,Canada,46.81213588141209,-71.22480805636772
66,66,66,12,12,13,Hamilton,66.71,34.53,51.33,65.08,61.0,92.8,Canada,43.2560802,-79.8728583
67,67,67,13,13,14,Red Deer,65.7,23.82,45.68,62.37,59.32,115.15,Canada,52.2690628,-113.8141464
68,68,68,14,14,15,Saskatoon,65.6,23.59,45.52,60.48,61.12,120.38,Canada,52.131802,-106.660767
69,69,69,15,15,16,Surrey,65.5,36.67,51.72,61.37,58.69,124.27,Canada,49.1913033,-122.849143
70,70,70,16,16,17,Winnipeg,64.87,24.59,45.62,63.44,59.28,80.95,Canada,49.8955367,-97.1384584
71,71,71,17,17,18,Montréal,64.49,29.0,47.53,61.62,65.16,100.68,Canada,45.5031824,-73.5698065
72,72,72,18,18,19,London,64.35,37.59,51.56,56.23,72.99,112.25,Canada,42.9832406,-81.243372
73,73,73,19,19,20,Mississauga,64.07,42.61,53.81,54.69,54.74,107.28,Canada,43.5896231,-79.6443879
74,74,74,20,20,21,Kitchener,63.58,34.04,49.46,61.99,62.92,137.45,Canada,43.451291,-80.4927815
