,classement,ville,idx_cout_vie,idx_loyer,idx_cout_vie_loyer,idx_courses,idx_prix_restaurants,idx_pouvoir_achat_local,Pays
0,1,Prague,"53,69","27,20","41,03","45,17","42,15","70,56",République Tchèque
1,2,Brno,"47,54","19,13","33,96","38,35","36,35","72,59",République Tchèque
2,3,Olomouc,"46,83","15,19","31,71","40,55","33,52","71,17",République Tchèque
3,4,Plzen,"46,67","13,14","30,64","37,50","37,38","80,65",République Tchèque
4,5,Ostrava,"46,64","13,83","30,96","38,40","36,09","75,50",République Tchèque
